ID Anggota;Kode Eksemplar;Judul;Kode Klasifikasi;Nama Klasifikasi;Tanggal Pinjam;Tanggal Kembali;Bulan Peminjaman;Status peminjaman
180254242006;447,4;Atheis;811;Kesusastraan;2024-01-11;2024-01-18;Januari;Telah Kembali
180254242006;m01110001;Mencari tepi langit;813;Kesusastraan;2024-01-11;2024-01-18;Januari;Telah Kembali
2303020032;49782;Harga sebuah percaya;813;Kesusastraan;2024-01-31;2024-02-07;Januari;Telah Kembali
2303020032;49888;Gadis kretek;813;Kesusastraan;2024-01-31;2024-02-07;Januari;Telah Kembali
2003010070;32535;Model-model pembelajaran inovatif;371;Ilmu-ilmu sosial;2024-01-30;2024-02-06;Januari;Telah Kembali
180384205007;49068;Pengelolaan laboratorium ipa berpedoman pada permendiknas;500;Ilmu-ilmu murni;2024-01-29;2024-02-05;Januari;Telah Kembali
2003010058;30019;metodologi penelitian sastra;1;Karya umum;2024-01-29;2024-02-05;Januari;Telah Kembali
2003010058;31179;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-29;2024-02-05;Januari;Telah Kembali
2003010058;50713;Pendidikan karakter konsep dan implementasi;370;Ilmu-ilmu sosial;2024-01-29;2024-02-05;Januari;Telah Kembali
2003010067;1650,1;Pengantar kajian sastra;800;Kesusastraan;2024-01-29;2024-02-05;Januari;Telah Kembali
2003010067;20232;Sastra kita, kritik, dan lokalitas;810;Kesusastraan;2024-01-29;2024-02-05;Januari;Telah Kembali
2003010067;17290;Teori kesusastraan;810;Kesusastraan;2024-01-29;2024-02-05;Januari;Telah Kembali
2003010035;33570;Media pembelajaran;371;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Januari;Telah Kembali
2003010035;19987;MEDIA PEMBELAJARAN;371;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Januari;Telah Kembali
2003010035;49851;Media pembelajaran digital;371;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Januari;Telah Kembali
2003010046;48780;Media konvensional dan media online;302;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Januari;Telah Kembali
2003010046;49059;Belajar & pembelajaran pada bidang teknologi informasi;372;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Januari;Telah Kembali
2003010037;32535;Model-model pembelajaran inovatif;371;Ilmu-ilmu sosial;2024-01-24;2024-01-31;Januari;Telah Kembali
2003010043;1175,3,1;PENGANTAR SEMANTIK BAHASA INDONESIA;400;Bahasa;2024-01-23;2024-01-30;Januari;Telah Kembali
2003010043;23190;Semantik leksikal;410;Bahasa;2024-01-23;2024-01-30;Januari;Telah Kembali
2003010043;21039;Dasar-dasar ilmu semantik;401;Bahasa;2024-01-23;2024-01-30;Januari;Telah Kembali
2203030035;SM,035,;micro teaching disertai dengan pedoman pengalaman lapangan;371;Ilmu-ilmu sosial;2024-01-18;2024-01-25;Januari;Telah Kembali
2203030035;44624;Micro Teaching;371;Ilmu-ilmu sosial;2024-01-18;2024-01-25;Januari;Telah Kembali
2003010067;17290;Teori kesusastraan;810;Kesusastraan;2024-01-16;2024-01-23;Januari;Telah Kembali
2003010067;20232;Sastra kita, kritik, dan lokalitas;810;Kesusastraan;2024-01-16;2024-01-23;Januari;Telah Kembali
2003010067;1650,1;Pengantar kajian sastra;800;Kesusastraan;2024-01-16;2024-01-23;Januari;Telah Kembali
