ID Anggota,Kode Buku,Judul,Kode Klasifikasi,Nama Klasifikasi,Tanggal Pinjam,Tanggal Kembali,Bulan Peminjaman,Status peminjaman
180254242006,KB-791739,Atheis,811,Kesusastraan,2024-01-11,2024-01-18,Januari,Telah Kembali
180254242006,KB-791739,Atheis,811,Kesusastraan,2024-01-11,2024-01-18,Januari,Telah Kembali
180254242006,KB-211174,Mencari tepi langit,813,Kesusastraan,2024-01-11,2024-01-18,Januari,Telah Kembali
2303020032,KB-005215,Harga sebuah percaya,813,Kesusastraan,2024-01-31,2024-02-07,Januari,Telah Kembali
2303020032,KB-185919,Gadis kretek,813,Kesusastraan,2024-01-31,2024-02-07,Januari,Telah Kembali
2003010070,,Model-model pembelajaran inovatif,371,Ilmu-ilmu sosial,2024-01-30,2024-02-06,Januari,Telah Kembali
180384205007,KB-774858,Pengelolaan laboratorium ipa berpedoman pada permendiknas,500,Ilmu-ilmu murni,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010058,KB-041026,metodologi penelitian sastra,1,Karya umum,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010058,KB-041026,metodologi penelitian sastra,1,Karya umum,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010058,KB-806225,"Metode Penelitian Kuantitatif, Kualitatif dan R&D",1,Karya umum,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010058,KB-999913,Pendidikan karakter konsep dan implementasi,370,Ilmu-ilmu sosial,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010067,KB-136050,Pengantar kajian sastra,800,Kesusastraan,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010067,KB-401997,"Sastra kita, kritik, dan lokalitas",810,Kesusastraan,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010067,KB-401997,"Sastra kita, kritik, dan lokalitas",810,Kesusastraan,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010067,KB-768895,Teori kesusastraan,810,Kesusastraan,2024-01-29,2024-02-05,Januari,Telah Kembali
2003010035,KB-383004,Media pembelajaran,371,Ilmu-ilmu sosial,2024-01-25,2024-02-01,Januari,Telah Kembali
2003010035,KB-373325,MEDIA PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-01-25,2024-02-01,Januari,Telah Kembali
2003010035,KB-373325,MEDIA PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-01-25,2024-02-01,Januari,Telah Kembali
2003010035,KB-373325,MEDIA PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-01-25,2024-02-01,Januari,Telah Kembali
2003010035,KB-373325,MEDIA PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-01-25,2024-02-01,Januari,Telah Kembali
2003010035,KB-547130,Media pembelajaran digital,371,Ilmu-ilmu sosial,2024-01-25,2024-02-01,Januari,Telah Kembali
2003010046,KB-478699,Media konvensional dan media online,302,Ilmu-ilmu sosial,2024-01-25,2024-02-01,Januari,Telah Kembali
2003010046,KB-912143,Belajar & pembelajaran pada bidang teknologi informasi,372,Ilmu-ilmu sosial,2024-01-25,2024-02-01,Januari,Telah Kembali
2003010037,,Model-model pembelajaran inovatif,371,Ilmu-ilmu sosial,2024-01-24,2024-01-31,Januari,Telah Kembali
2003010043,KB-442757,PENGANTAR SEMANTIK BAHASA INDONESIA,400,Bahasa,2024-01-23,2024-01-30,Januari,Telah Kembali
2003010043,KB-530226,Semantik leksikal,410,Bahasa,2024-01-23,2024-01-30,Januari,Telah Kembali
2003010043,KB-244954,Dasar-dasar ilmu semantik,401,Bahasa,2024-01-23,2024-01-30,Januari,Telah Kembali
2203030035,KB-695040,micro teaching disertai dengan pedoman pengalaman lapangan,371,Ilmu-ilmu sosial,2024-01-18,2024-01-25,Januari,Telah Kembali
2203030035,KB-265218,Micro Teaching,371,Ilmu-ilmu sosial,2024-01-18,2024-01-25,Januari,Telah Kembali
2003010067,KB-768895,Teori kesusastraan,810,Kesusastraan,2024-01-16,2024-01-23,Januari,Telah Kembali
2003010067,KB-401997,"Sastra kita, kritik, dan lokalitas",810,Kesusastraan,2024-01-16,2024-01-23,Januari,Telah Kembali
2003010067,KB-401997,"Sastra kita, kritik, dan lokalitas",810,Kesusastraan,2024-01-16,2024-01-23,Januari,Telah Kembali
2003010067,KB-136050,Pengantar kajian sastra,800,Kesusastraan,2024-01-16,2024-01-23,Januari,Telah Kembali
2003010058,KB-999913,Pendidikan karakter konsep dan implementasi,370,Ilmu-ilmu sosial,2024-01-16,2024-01-23,Januari,Telah Kembali
2003010058,KB-806225,"Metode Penelitian Kuantitatif, Kualitatif dan R&D",1,Karya umum,2024-01-16,2024-01-23,Januari,Telah Kembali
2003010058,KB-041026,metodologi penelitian sastra,1,Karya umum,2024-01-16,2024-01-23,Januari,Telah Kembali
2003010058,KB-041026,metodologi penelitian sastra,1,Karya umum,2024-01-16,2024-01-23,Januari,Telah Kembali
190388201084,KB-043144,METODE PEMBELAJARAN DRAMA,807,Kesusastraan,2024-01-16,2024-01-23,Januari,Telah Kembali
